Donor_ID,Project_ID,Score
DNR0006,PRJ1443,0.9925
DNR0006,PRJ0209,0.6549
DNR0007,PRJ0315,0.9972
DNR0007,PRJ1413,0.99
DNR0007,PRJ1386,0.9411
DNR0007,PRJ1845,0.7874
DNR0007,PRJ0103,0.699
DNR0007,PRJ0937,0.6822
DNR0007,PRJ0292,0.5061
DNR0007,PRJ0123,0.6246
DNR0007,PRJ1816,0.8594
DNR0007,PRJ0022,0.8018
DNR0008,PRJ0944,0.9485
DNR0008,PRJ1481,0.9509
DNR0008,PRJ0133,0.6643
DNR0008,PRJ1167,0.9762
DNR0008,PRJ0291,0.5124
DNR0008,PRJ0838,0.6884
DNR0008,PRJ1011,0.9479
DNR0008,PRJ0976,0.6373
DNR0008,PRJ1410,0.6365
DNR0008,PRJ1808,0.6513
DNR0009,PRJ0101,0.5306
DNR0009,PRJ0793,0.9709
DNR0009,PRJ0076,0.9249
DNR0009,PRJ0291,0.9225
DNR0009,PRJ1110,0.9621
DNR0009,PRJ1340,0.7526
DNR0009,PRJ1919,0.6237
DNR0009,PRJ0323,0.7007
DNR0009,PRJ0878,0.8594
DNR0009,PRJ1839,0.938
DNR0010,PRJ1968,0.5096
DNR0010,PRJ0152,0.8267
DNR0010,PRJ1654,0.6922
DNR0010,PRJ1581,0.8363
DNR0010,PRJ1235,0.7943
DNR0010,PRJ0210,0.6117
DNR0010,PRJ0899,0.9236
DNR0010,PRJ0562,0.746
DNR0010,PRJ1518,0.9113
DNR0010,PRJ1129,0.703
DNR0011,PRJ0349,0.9855
DNR0011,PRJ1964,0.6831
DNR0011,PRJ0283,0.8055
DNR0011,PRJ1804,0.955
DNR0011,PRJ1038,0.8954
DNR0011,PRJ0407,0.7817
DNR0011,PRJ0386,0.5381
DNR0011,PRJ0437,0.8264
DNR0011,PRJ1482,0.7633
DNR0011,PRJ0290,0.5921
DNR0012,PRJ1220,0.7137
DNR0012,PRJ0722,0.9864
DNR0012,PRJ1677,0.7801
DNR0012,PRJ0641,0.627
DNR0012,PRJ1315,0.615
DNR0012,PRJ1599,0.8057
DNR0012,PRJ0977,0.7614
DNR0012,PRJ0559,0.5038
DNR0012,PRJ0053,0.915
DNR0012,PRJ1956,0.8521
DNR0013,PRJ0747,0.6437
DNR0013,PRJ0894,0.6817
DNR0013,PRJ1426,0.9295
DNR0013,PRJ1970,0.734
DNR0013,PRJ1540,0.6067
DNR0013,PRJ0763,0.9673
DNR0013,PRJ1295,0.8983
DNR0013,PRJ1355,0.5278
DNR0013,PRJ1581,0.9995
DNR0013,PRJ1917,0.8475
DNR0014,PRJ0384,0.7009
DNR0014,PRJ1510,0.5529
DNR0014,PRJ1422,0.5121
DNR0014,PRJ0873,0.9122
DNR0014,PRJ0709,0.9581
DNR0014,PRJ1177,0.6038
DNR0014,PRJ0730,0.7696
DNR0014,PRJ1485,0.639
DNR0014,PRJ1373,0.7468
DNR0014,PRJ1635,0.7183
DNR0015,PRJ1631,0.8913
DNR0015,PRJ0730,0.5288
DNR0015,PRJ1481,0.7391
DNR0015,PRJ0717,0.8189
DNR0015,PRJ0885,0.8434
DNR0015,PRJ1309,0.5292
DNR0015,PRJ1674,0.7093
DNR0015,PRJ0806,0.7919
DNR0015,PRJ1856,0.533
DNR0015,PRJ0390,0.5675
DNR0016,PRJ1283,0.9001
DNR0016,PRJ0460,0.6341
DNR0016,PRJ1976,0.67
DNR0016,PRJ1100,0.9585
DNR0016,PRJ0264,0.8776
DNR0016,PRJ1162,0.8276
DNR0016,PRJ0732,0.627
DNR0016,PRJ0056,0.8493
DNR0016,PRJ1268,0.9434
DNR0016,PRJ1760,0.6154
DNR0017,PRJ1514,0.809
DNR0017,PRJ1158,0.8415
DNR0017,PRJ0496,0.6923
DNR0017,PRJ1392,0.9345
DNR0017,PRJ1564,0.5812
DNR0017,PRJ0276,0.9419
DNR0017,PRJ0286,0.6711
DNR0017,PRJ1954,0.5625
DNR0017,PRJ1739,0.8
DNR0017,PRJ1651,0.688
DNR0018,PRJ0815,0.6138
DNR0018,PRJ0980,0.5045
DNR0018,PRJ0034,0.9892
DNR0018,PRJ1643,0.914
DNR0018,PRJ1061,0.6971
DNR0018,PRJ1656,0.973
DNR0018,PRJ0468,0.8386
DNR0018,PRJ1979,0.8757
DNR0018,PRJ1696,0.84
DNR0018,PRJ0569,0.8784
DNR0019,PRJ0162,0.963
DNR0019,PRJ0515,0.9244
DNR0019,PRJ1132,0.6998
DNR0019,PRJ1415,0.9964
DNR0019,PRJ0818,0.526
DNR0019,PRJ0344,0.8943
DNR0019,PRJ0261,0.7169
DNR0019,PRJ0906,0.7167
DNR0019,PRJ1292,0.5851
DNR0019,PRJ1731,0.7574
DNR0020,PRJ1965,0.5027
DNR0020,PRJ1798,0.6131
DNR0020,PRJ0767,0.5969
DNR0020,PRJ0829,0.8759
DNR0020,PRJ1064,0.7386
DNR0020,PRJ0071,0.5799
DNR0020,PRJ1488,0.6284
DNR0020,PRJ0747,0.752
DNR0020,PRJ1570,0.5098
DNR0020,PRJ1068,0.7121
DNR0021,PRJ0341,0.7114
DNR0021,PRJ1349,0.8321
DNR0021,PRJ0485,0.8842
DNR0021,PRJ0935,0.6646
DNR0021,PRJ0827,0.9622
DNR0021,PRJ0497,0.9692
DNR0021,PRJ1821,0.5203
DNR0021,PRJ0794,0.5075
DNR0021,PRJ1976,0.7125
DNR0021,PRJ0045,0.7953
DNR0022,PRJ1016,0.8623
DNR0022,PRJ0008,0.7034
DNR0022,PRJ1864,0.5703
DNR0022,PRJ0464,0.8708
DNR0022,PRJ1905,0.5517
DNR0022,PRJ1389,0.7874
DNR0022,PRJ0771,0.8037
DNR0022,PRJ0684,0.9652
DNR0022,PRJ1144,0.5755
DNR0022,PRJ1138,0.8267
DNR0023,PRJ1417,0.5262
DNR0023,PRJ1446,0.9795
DNR0023,PRJ1704,0.584
DNR0023,PRJ0878,0.8342
DNR0023,PRJ1646,0.9564
DNR0023,PRJ0040,0.8489
DNR0023,PRJ1002,0.609
DNR0023,PRJ0564,0.6579
DNR0023,PRJ0482,0.5151
DNR0023,PRJ0819,0.8064
DNR0024,PRJ1096,0.9764
DNR0024,PRJ1066,0.5403
DNR0024,PRJ0741,0.8762
DNR0024,PRJ1388,0.9348
DNR0024,PRJ0309,0.9934
DNR0024,PRJ1592,0.6674
DNR0024,PRJ1859,0.6778
DNR0024,PRJ0997,0.6149
DNR0024,PRJ1055,0.8945
DNR0024,PRJ1731,0.57
DNR0025,PRJ1612,0.7814
DNR0025,PRJ1230,0.8357
DNR0025,PRJ1196,0.7848
DNR0025,PRJ1142,0.8283
DNR0025,PRJ1174,0.5578
DNR0025,PRJ0907,0.738
DNR0025,PRJ1678,0.6785
DNR0025,PRJ0825,0.9867
DNR0025,PRJ0170,0.5248
DNR0025,PRJ1861,0.6491
DNR0026,PRJ1482,0.9902
DNR0026,PRJ0386,0.8299
DNR0026,PRJ1260,0.6777
DNR0026,PRJ0164,0.573
DNR0026,PRJ1906,0.9819
DNR0026,PRJ0983,0.507
DNR0026,PRJ1286,0.8407
DNR0026,PRJ1195,0.9401
DNR0026,PRJ0840,0.5126
DNR0026,PRJ1106,0.8626
DNR0027,PRJ0313,0.7661
DNR0027,PRJ1569,0.8883
DNR0027,PRJ1030,0.619
DNR0027,PRJ1025,0.8538
DNR0027,PRJ1225,0.8604
DNR0027,PRJ0237,0.8189
DNR0027,PRJ0073,0.6821
DNR0027,PRJ1034,0.8925
DNR0027,PRJ1439,0.8142
DNR0027,PRJ1661,0.7952
DNR0028,PRJ0065,0.5815
DNR0028,PRJ0832,0.7909
DNR0028,PRJ1824,0.9245
DNR0028,PRJ1268,0.9318
DNR0028,PRJ1911,0.7417
DNR0028,PRJ0368,0.6179
DNR0028,PRJ0592,0.9183
DNR0028,PRJ0574,0.9997
DNR0028,PRJ1977,0.6886
DNR0028,PRJ1059,0.9622
DNR0029,PRJ1485,0.528
DNR0029,PRJ0157,0.7118
DNR0029,PRJ1823,0.8789
DNR0029,PRJ1761,0.999
DNR0029,PRJ1548,0.7977
DNR0029,PRJ0605,0.9703
DNR0029,PRJ0979,0.9993
DNR0029,PRJ0156,0.7174
DNR0029,PRJ1846,0.8343
DNR0029,PRJ0601,0.6066
DNR0030,PRJ1359,0.7541
DNR0030,PRJ1105,0.5994
DNR0030,PRJ1525,0.891
DNR0030,PRJ1038,0.841
DNR0030,PRJ0448,0.5486
DNR0030,PRJ1754,0.8082
DNR0030,PRJ1375,0.9918
DNR0030,PRJ0001,0.7641
DNR0030,PRJ0055,0.6427
DNR0030,PRJ0200,0.5761
DNR0031,PRJ1604,0.6359
DNR0031,PRJ0370,0.9533
DNR0031,PRJ0491,0.672
DNR0031,PRJ1551,0.9537
DNR0031,PRJ0855,0.6397
DNR0031,PRJ1963,0.8022
DNR0031,PRJ0889,0.5651
DNR0031,PRJ1105,0.8892
DNR0031,PRJ0051,0.6001
DNR0031,PRJ0938,0.932
DNR0032,PRJ1276,0.8643
DNR0032,PRJ1790,0.9727
DNR0032,PRJ1207,0.7854
DNR0032,PRJ1734,0.6071
DNR0032,PRJ0880,0.9089
DNR0032,PRJ0809,0.94
DNR0032,PRJ0272,0.8516
DNR0032,PRJ1962,0.6468
DNR0032,PRJ1563,0.5953
DNR0032,PRJ1008,0.8121
DNR0033,PRJ1461,0.6765
DNR0033,PRJ1416,0.6348
DNR0033,PRJ0801,0.9017
DNR0033,PRJ0891,0.7501
DNR0033,PRJ0536,0.6393
DNR0033,PRJ0889,0.6565
DNR0033,PRJ1511,0.5199
DNR0033,PRJ1549,0.5247
DNR0033,PRJ0987,0.859
DNR0033,PRJ0593,0.5565
DNR0034,PRJ0907,0.5021
DNR0034,PRJ0103,0.6689
DNR0034,PRJ0404,0.5228
DNR0034,PRJ0609,0.9251
DNR0034,PRJ1511,0.9433
DNR0034,PRJ0040,0.7591
DNR0034,PRJ1277,0.9198
DNR0034,PRJ1871,0.8517
DNR0034,PRJ0704,0.7498
DNR0034,PRJ0058,0.6819
DNR0035,PRJ1992,0.6044
DNR0035,PRJ0891,0.888
DNR0035,PRJ1954,0.9455
DNR0035,PRJ1994,0.7814
DNR0035,PRJ1976,0.979
DNR0035,PRJ0374,0.864
DNR0035,PRJ0024,0.7818
DNR0035,PRJ1282,0.8058
DNR0035,PRJ1990,0.9248
DNR0035,PRJ1242,0.5451
DNR0036,PRJ0384,0.8869
DNR0036,PRJ1663,0.5762
DNR0036,PRJ0194,0.8599
DNR0036,PRJ1013,0.9172
DNR0036,PRJ1839,0.5722
DNR0036,PRJ0911,0.7287
DNR0036,PRJ0625,0.9313
DNR0036,PRJ1290,0.5993
DNR0036,PRJ1778,0.7245
DNR0036,PRJ0058,0.8064
DNR0037,PRJ0571,0.8498
DNR0037,PRJ0370,0.5547
DNR0037,PRJ0615,0.7801
DNR0037,PRJ0718,0.6655
DNR0037,PRJ0806,0.9855
DNR0037,PRJ1977,0.7125
DNR0037,PRJ1417,0.5203
DNR0037,PRJ1544,0.6659
DNR0037,PRJ1272,0.6564
DNR0037,PRJ0856,0.5028
DNR0038,PRJ0997,0.7391
DNR0038,PRJ0765,0.5037
DNR0038,PRJ1995,0.8999
DNR0038,PRJ1561,0.8089
DNR0038,PRJ0462,0.8652
DNR0038,PRJ0536,0.9505
DNR0038,PRJ1175,0.6431
DNR0038,PRJ0318,0.7515
DNR0038,PRJ0435,0.8012
DNR0038,PRJ1145,0.6727
DNR0039,PRJ0744,0.8394
DNR0039,PRJ0694,0.9
DNR0039,PRJ0604,0.9231
DNR0039,PRJ1179,0.9901
DNR0039,PRJ1592,0.5759
DNR0039,PRJ1037,0.8849
DNR0039,PRJ1387,0.8671
DNR0039,PRJ0387,0.6439
DNR0039,PRJ0638,0.6963
DNR0039,PRJ0875,0.5884
DNR0040,PRJ1067,0.6952
DNR0040,PRJ1596,0.7682
DNR0040,PRJ0789,0.5548
DNR0040,PRJ1169,0.9743
DNR0040,PRJ0754,0.8507
DNR0040,PRJ1855,0.6878
DNR0040,PRJ1696,0.6948
DNR0040,PRJ1359,0.5452
DNR0040,PRJ0475,0.7285
DNR0040,PRJ1524,0.8365
DNR0041,PRJ0860,0.5572
DNR0041,PRJ1757,0.8419
DNR0041,PRJ1666,0.8618
DNR0041,PRJ0428,0.8311
DNR0041,PRJ1729,0.9091
DNR0041,PRJ0151,0.7558
DNR0041,PRJ0630,0.9485
DNR0041,PRJ0056,0.7847
DNR0041,PRJ0965,0.7539
DNR0041,PRJ1749,0.7547
DNR0042,PRJ1294,0.8142
DNR0042,PRJ1976,0.9165
DNR0042,PRJ0794,0.9422
DNR0042,PRJ0902,0.5084
DNR0042,PRJ0996,0.8228
DNR0042,PRJ1603,0.7821
DNR0042,PRJ0402,0.8185
DNR0042,PRJ1556,0.529
DNR0042,PRJ1687,0.5349
DNR0042,PRJ0933,0.7485
DNR0043,PRJ0272,0.7414
DNR0043,PRJ1613,0.6611
DNR0043,PRJ1707,0.7584
DNR0043,PRJ0144,0.9413
DNR0043,PRJ1665,0.928
DNR0043,PRJ0650,0.7995
DNR0043,PRJ0809,0.765
DNR0043,PRJ0496,0.6129
DNR0043,PRJ0307,0.8465
DNR0043,PRJ0645,0.9267
DNR0044,PRJ1220,0.5348
DNR0044,PRJ1826,0.5734
DNR0044,PRJ1127,0.8837
DNR0044,PRJ1342,0.6246
DNR0044,PRJ0227,0.5469
DNR0044,PRJ1929,0.7841
DNR0044,PRJ1946,0.5472
DNR0044,PRJ1632,0.842
DNR0044,PRJ0037,0.8446
DNR0044,PRJ0920,0.7265
DNR0045,PRJ0251,0.836
DNR0045,PRJ0119,0.6379
DNR0045,PRJ0711,0.9709
DNR0045,PRJ0235,0.6653
DNR0045,PRJ1319,0.7056
DNR0045,PRJ1253,0.9882
DNR0045,PRJ0178,0.7396
DNR0045,PRJ1709,0.8064
DNR0045,PRJ1097,0.7701
DNR0045,PRJ0044,0.5888
DNR0046,PRJ1644,0.814
DNR0046,PRJ0412,0.8011
DNR0046,PRJ1770,0.9873
DNR0046,PRJ0183,0.7805
DNR0046,PRJ1549,0.9371
DNR0046,PRJ1591,0.9746
DNR0046,PRJ1316,0.7174
DNR0046,PRJ0270,0.5264
DNR0046,PRJ1242,0.5717
DNR0046,PRJ1453,0.752
DNR0047,PRJ0510,0.9292
DNR0047,PRJ0599,0.7294
DNR0047,PRJ1014,0.784
DNR0047,PRJ0275,0.7325
DNR0047,PRJ0132,0.8877
DNR0047,PRJ0448,0.7699
DNR0047,PRJ1281,0.7354
DNR0047,PRJ0090,0.6289
DNR0047,PRJ0220,0.9558
DNR0047,PRJ1853,0.9316
DNR0048,PRJ0433,0.5475
DNR0048,PRJ1678,0.556
DNR0048,PRJ1789,0.5974
DNR0048,PRJ1549,0.7407
DNR0048,PRJ1141,0.7959
DNR0048,PRJ0948,0.8471
DNR0048,PRJ1607,0.7431
DNR0048,PRJ1281,0.8324
DNR0048,PRJ0310,0.9311
DNR0048,PRJ1226,0.6871
DNR0049,PRJ0770,0.953
DNR0049,PRJ0690,0.921
DNR0049,PRJ1945,0.8934
DNR0049,PRJ0934,0.9295
DNR0049,PRJ1966,0.5874
DNR0049,PRJ0267,0.6704
DNR0049,PRJ0402,0.8418
DNR0049,PRJ1984,0.9616
DNR0049,PRJ0688,0.8335
DNR0049,PRJ1127,0.604
DNR0050,PRJ0222,0.8265
DNR0050,PRJ1511,0.65
DNR0050,PRJ0553,0.5412
DNR0050,PRJ0282,0.5636
DNR0050,PRJ1367,0.917
DNR0050,PRJ0576,0.5607
DNR0050,PRJ0413,0.6653
DNR0050,PRJ1055,0.6438
DNR0050,PRJ1010,0.5289
DNR0050,PRJ1548,0.7998
DNR0051,PRJ0648,0.8785
DNR0051,PRJ0979,0.5295
DNR0051,PRJ0227,0.9097
DNR0051,PRJ1899,0.888
DNR0051,PRJ0252,0.9648
DNR0051,PRJ0084,0.5593
DNR0051,PRJ0355,0.8004
DNR0051,PRJ1901,0.6097
DNR0051,PRJ0441,0.6997
DNR0051,PRJ1277,0.6325
DNR0052,PRJ0512,0.7937
DNR0052,PRJ1809,0.9962
DNR0052,PRJ0728,0.7835
DNR0052,PRJ1823,0.9032
DNR0052,PRJ0788,0.5694
DNR0052,PRJ0534,0.5039
DNR0052,PRJ1469,0.5135
DNR0052,PRJ0160,0.946
DNR0052,PRJ0452,0.5374
DNR0052,PRJ1385,0.8064
DNR0053,PRJ1594,0.9326
DNR0053,PRJ1301,0.7745
DNR0053,PRJ1766,0.6574
DNR0053,PRJ1672,0.8169
DNR0053,PRJ0400,0.8372
DNR0053,PRJ1085,0.5737
DNR0053,PRJ1159,0.8232
DNR0053,PRJ0920,0.6433
DNR0053,PRJ0070,0.9018
DNR0053,PRJ1115,0.9708
DNR0054,PRJ0055,0.7157
DNR0054,PRJ1622,0.9436
DNR0054,PRJ1621,0.6905
DNR0054,PRJ1244,0.8474
DNR0054,PRJ1630,0.6944
DNR0054,PRJ1277,0.5189
DNR0054,PRJ1988,0.5417
DNR0054,PRJ0423,0.721
DNR0054,PRJ1048,0.995
DNR0054,PRJ1260,0.5888
DNR0055,PRJ1694,0.82
DNR0055,PRJ0619,0.924
DNR0055,PRJ0713,0.7465
DNR0055,PRJ0433,0.5336
DNR0055,PRJ1986,0.9876
DNR0055,PRJ0089,0.8384
DNR0055,PRJ1857,0.9909
DNR0055,PRJ1927,0.5935
DNR0055,PRJ0379,0.6017
DNR0055,PRJ0284,0.5502
DNR0056,PRJ1335,0.6074
DNR0056,PRJ1571,0.9853
DNR0056,PRJ1902,0.9257
DNR0056,PRJ1226,0.7959
DNR0056,PRJ1881,0.5041
DNR0056,PRJ1882,0.9274
DNR0056,PRJ0341,0.8758
DNR0056,PRJ1745,0.9782
DNR0056,PRJ1682,0.5066
DNR0056,PRJ0381,0.5143
DNR0057,PRJ0883,0.5081
DNR0057,PRJ0281,0.5802
DNR0057,PRJ1628,0.8615
DNR0057,PRJ1861,0.9849
DNR0057,PRJ1248,0.8719
DNR0057,PRJ0847,0.9266
DNR0057,PRJ1714,0.8934
DNR0057,PRJ1233,0.648
DNR0057,PRJ0581,0.8656
DNR0057,PRJ1445,0.8753
DNR0058,PRJ0720,0.6076
DNR0058,PRJ1732,0.9168
DNR0058,PRJ1795,0.5347
DNR0058,PRJ1782,0.6475
DNR0058,PRJ0485,0.7043
DNR0058,PRJ1269,0.8011
DNR0058,PRJ0785,0.9938
DNR0058,PRJ1792,0.5647
DNR0058,PRJ0758,0.6864
DNR0058,PRJ1039,0.8405
DNR0059,PRJ0973,0.845
DNR0059,PRJ0481,0.5933
DNR0059,PRJ1108,0.9676
DNR0059,PRJ0506,0.8906
DNR0059,PRJ1693,0.6958
DNR0059,PRJ0668,0.5941
DNR0059,PRJ1525,0.8838
DNR0059,PRJ0762,0.5593
DNR0059,PRJ1095,0.5437
DNR0059,PRJ1618,0.8399
DNR0060,PRJ1320,0.7058
DNR0060,PRJ1200,0.7382
DNR0060,PRJ0141,0.7043
DNR0060,PRJ0276,0.6742
DNR0060,PRJ1374,0.8057
DNR0060,PRJ0733,0.8381
DNR0060,PRJ0866,0.9792
DNR0060,PRJ0056,0.5633
DNR0060,PRJ0304,0.9502
DNR0060,PRJ1521,0.8987
DNR0061,PRJ1148,0.7239
DNR0061,PRJ1175,0.6684
DNR0061,PRJ0369,0.7495
DNR0061,PRJ1230,0.6107
DNR0061,PRJ1132,0.5004
DNR0061,PRJ0282,0.6772
DNR0061,PRJ1028,0.509
DNR0061,PRJ0038,0.5204
DNR0061,PRJ0722,0.5147
DNR0061,PRJ0503,0.94
DNR0062,PRJ1123,0.883
DNR0062,PRJ0855,0.5994
DNR0062,PRJ1844,0.5658
DNR0062,PRJ1768,0.8069
DNR0062,PRJ1011,0.6495
DNR0062,PRJ1342,0.8068
DNR0062,PRJ1772,0.6577
DNR0062,PRJ1209,0.8856
DNR0062,PRJ0030,0.7108
DNR0062,PRJ1134,0.9931
DNR0063,PRJ1530,0.5762
DNR0063,PRJ1367,0.9748
DNR0063,PRJ0714,0.9165
DNR0063,PRJ0735,0.8174
DNR0063,PRJ0099,0.7344
DNR0063,PRJ1740,0.7054
DNR0063,PRJ1620,0.5221
DNR0063,PRJ1295,0.9345
DNR0063,PRJ1516,0.6868
DNR0063,PRJ0427,0.7595
DNR0064,PRJ0751,0.7976
DNR0064,PRJ0688,0.7983
DNR0064,PRJ1722,0.9225
DNR0064,PRJ0978,0.776
DNR0064,PRJ1723,0.6475
DNR0064,PRJ0409,0.7614
DNR0064,PRJ0280,0.5536
DNR0064,PRJ0156,0.8039
DNR0064,PRJ1641,0.9581
DNR0064,PRJ1720,0.7649
DNR0065,PRJ0578,0.8107
DNR0065,PRJ0194,0.9599
DNR0065,PRJ1101,0.97
DNR0065,PRJ0184,0.632
DNR0065,PRJ0613,0.7281
DNR0065,PRJ0638,0.7656
DNR0065,PRJ0665,0.7235
DNR0065,PRJ1911,0.9817
DNR0065,PRJ1392,0.6452
DNR0065,PRJ1715,0.7596
DNR0066,PRJ1742,0.565
DNR0066,PRJ1011,0.8038
DNR0066,PRJ1968,0.6551
DNR0066,PRJ0786,0.6853
DNR0066,PRJ1386,0.5315
DNR0066,PRJ0047,0.888
DNR0066,PRJ0248,0.8013
DNR0066,PRJ1286,0.7908
DNR0066,PRJ0013,0.829
DNR0066,PRJ1933,0.8319
DNR0067,PRJ0011,0.5653
DNR0067,PRJ0288,0.6491
DNR0067,PRJ1708,0.5823
DNR0067,PRJ1793,0.6143
DNR0067,PRJ1294,0.565
DNR0067,PRJ1767,0.8173
DNR0067,PRJ1298,0.5218
DNR0067,PRJ1152,0.8645
DNR0067,PRJ1074,0.5711
DNR0067,PRJ0439,0.6333
DNR0068,PRJ1802,0.8337
DNR0068,PRJ1984,0.8733
DNR0068,PRJ1280,0.8668
DNR0068,PRJ1129,0.9086
DNR0068,PRJ1423,0.5217
DNR0068,PRJ1025,0.9827
DNR0068,PRJ0200,0.6692
DNR0068,PRJ0123,0.6836
DNR0068,PRJ0688,0.816
DNR0068,PRJ1427,0.6127
DNR0069,PRJ0494,0.7381
DNR0069,PRJ0652,0.8099
DNR0069,PRJ0810,0.9758
DNR0069,PRJ1844,0.9938
DNR0069,PRJ1841,0.8138
DNR0069,PRJ1533,0.792
DNR0069,PRJ1739,0.6728
DNR0069,PRJ1590,0.6621
DNR0069,PRJ1261,0.9622
DNR0069,PRJ1604,0.8326
DNR0070,PRJ0661,0.7481
DNR0070,PRJ1186,0.892
DNR0070,PRJ1887,0.8547
DNR0070,PRJ1825,0.5524
DNR0070,PRJ0340,0.7589
DNR0070,PRJ1666,0.8989
DNR0070,PRJ1340,0.819
DNR0070,PRJ0761,0.8564
DNR0070,PRJ1291,0.7867
DNR0070,PRJ1811,0.964
DNR0071,PRJ0021,0.5923
DNR0071,PRJ0064,0.7076
DNR0071,PRJ1175,0.9429
DNR0071,PRJ1073,0.639
DNR0071,PRJ0562,0.5748
DNR0071,PRJ1508,0.7666
DNR0071,PRJ1969,0.8277
DNR0071,PRJ1924,0.7481
DNR0071,PRJ1260,0.7732
DNR0071,PRJ1192,0.5964
DNR0072,PRJ0528,0.5949
DNR0072,PRJ1776,0.8785
DNR0072,PRJ0697,0.7688
DNR0072,PRJ1570,0.6084
DNR0072,PRJ0321,0.8067
DNR0072,PRJ1995,0.5057
DNR0072,PRJ0692,0.6674
DNR0072,PRJ1373,0.8923
DNR0072,PRJ0157,0.8746
DNR0072,PRJ0937,0.8953
DNR0073,PRJ1184,0.6727
DNR0073,PRJ1521,0.8722
DNR0073,PRJ0185,0.7236
DNR0073,PRJ0070,0.828
DNR0073,PRJ0141,0.8798
DNR0073,PRJ0226,0.9905
DNR0073,PRJ0517,0.9591
DNR0073,PRJ1572,0.6721
DNR0073,PRJ1972,0.9014
DNR0073,PRJ0564,0.6862
DNR0074,PRJ1168,0.8044
DNR0074,PRJ1429,0.6854
DNR0074,PRJ1549,0.6862
DNR0074,PRJ1796,0.8359
DNR0074,PRJ0204,0.6122
DNR0074,PRJ0813,0.9901
DNR0074,PRJ0264,0.8565
DNR0074,PRJ0212,0.5806
DNR0074,PRJ0124,0.6821
DNR0074,PRJ0843,0.6118
DNR0075,PRJ0684,0.8307
DNR0075,PRJ0633,0.891
DNR0075,PRJ1281,0.8273
DNR0075,PRJ1508,0.7895
DNR0075,PRJ0176,0.9635
DNR0075,PRJ1555,0.7483
DNR0075,PRJ1844,0.8333
DNR0075,PRJ1766,0.6562
DNR0075,PRJ1540,0.6944
DNR0075,PRJ0149,0.6172
DNR0076,PRJ0916,0.8481
DNR0076,PRJ1487,0.6643
DNR0076,PRJ1385,0.8685
DNR0076,PRJ1368,0.9465
DNR0076,PRJ0426,0.9626
DNR0076,PRJ1494,0.5889
DNR0076,PRJ1295,0.8363
DNR0076,PRJ1598,0.5375
DNR0076,PRJ1787,0.7316
DNR0076,PRJ1570,0.7134
DNR0077,PRJ1792,0.9908
DNR0077,PRJ0082,0.9845
DNR0077,PRJ0138,0.9761
DNR0077,PRJ0551,0.6781
DNR0077,PRJ0442,0.5412
DNR0077,PRJ1008,0.8346
DNR0077,PRJ0025,0.9367
DNR0077,PRJ1730,0.6773
DNR0077,PRJ1880,0.9814
DNR0077,PRJ1140,0.9554
DNR0078,PRJ1887,0.725
DNR0078,PRJ1244,0.9041
DNR0078,PRJ1989,0.6695
DNR0078,PRJ1969,0.55
DNR0078,PRJ0521,0.5426
DNR0078,PRJ1829,0.7252
DNR0078,PRJ1459,0.7589
DNR0078,PRJ1269,0.6876
DNR0078,PRJ1785,0.8938
DNR0078,PRJ1787,0.8326
DNR0079,PRJ0126,0.9147
